"ENT","CON","N_REN","PAREN","SEXO","EDAD","NIV","GRA","P3_5","P3_6","P3_7","P3_8","P3_9_1","P3_9_2","P3_9_3","P3_9_4","P3_9_5","P3_9_6","P3_9_7","P3_9_8","P3_9_9","P3_10","P3_11","P3_12_1","P3_12_2","P3_12_3","P3_12_4","P3_12_5","P3_12_6","P3_12_7","P3_12_8","P3_12A","P3_13","P3_14","P3_15","P3_16","P3_17_1","P3_17_2","P3_17_3","P3_17_4","P3_17_5","P3_17_6","P3_17_7","P3_17_8","P3_18","P3_19_1","P3_19_2","P3_19_3","P3_19_4","P3_19_5","P3_19_6","P3_19_7","P3_19_8","P3_20","P3_21_1","P3_21_2","P3_21_3","P3_21_4","P3_21_5","P3_21_6","P3_21_7","P3_21A","P3_21B","P3_22","P3_23","P3_24","P3_25_1","P3_25_2","P3_25_3","P3_25_4","P3_25_5","P3_26","FACTOR"
"18","18E13950","01","1","2","18","4","03","1","1","1","","","","","","","","","","","","1","1","0","0","1","0","0","0","0","4","2","1","1","","","","","","","","","","","","","","","","","","","1","0","0","0","1","0","0","0","4","2","01","1","1","0","1","0","0","0","2",1026
"18","18E13950","02","1","2","22","7","03","1","1","1","","","","","","","","","","","","1","0","0","0","1","0","0","0","0","4","2","1","1","","","","","","","","","","","","","","","","","","","2","0","0","0","0","0","0","1","","","12","2","","0","1","0","0","0","5",1026
"18","18E13989","01","1","2","05","1","02","1","2","1","","","","","","","","","","","","1","0","0","0","1","1","0","0","0","4","1","1","2","","","","","","","","","","","","","","","","","","","1","0","0","0","1","1","0","0","4","1","01","1","1","0","1","1","0","0","2",1422
"18","18E13989","02","8","2","22","7","03","2","","","","","","","","","","","","","","","","","","","","","","","","","2","","1","1","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",1422
"18","18E13989","03","6","1","25","3","03","2","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","","04","","","","","","","","","","","","","","","","","","","","","","","","","","","5",1422
"18","18E13993","01","1","2","03","0","00","2","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","","12","","","","","","","","","","","","","","","","","","","","","","","","","","","1",1609
"18","18E13993","02","1","1","11","2","04","1","1","1","","","","","","","","","","","","1","0","0","0","1","0","0","0","0","4","1","1","1","","","","","","","","","","","","","","","","","","","1","0","0","0","1","0","0","0","4","1","03","1","5","0","1","0","0","0","1",1609
"18","18E13993","03","1","1","14","3","02","1","1","1","","","","","","","","","","","","1","0","0","0","1","0","0","0","0","4","2","1","1","","","","","","","","","","","","","","","","","","","1","0","0","0","1","0","0","0","4","2","05","2","","0","1","0","0","0","1",1609
"18","18E13993","04","1","2","18","5","03","1","2","1","","","","","","","","","","","","1","0","1","0","1","0","0","0","0","4","2","2","","2","","","","","","","","","01","","","","","","","","","","","","","","","","","","","","","","","","","","","5",1609
"18","18E16307","01","1","2","04","0","00","2","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","1","0","0","0","1","0","0","0","4","1","02","1","1","0","1","0","0","0","1",1131
"18","18E16307","02","1","1","06","2","01","1","1","1","","","","","","","","","","","","1","0","0","0","1","0","0","0","0","4","1","1","1","","","","","","","","","","","","","","","","","","","1","0","0","0","1","0","0","0","4","1","02","1","3","0","1","0","0","0","1",1131
"18","18E16307","03","1","2","11","2","05","1","1","1","","","","","","","","","","","","1","0","0","0","1","0","0","0","0","4","1","1","1","","","","","","","","","","","","","","","","","","","1","0","0","0","1","0","0","0","4","1","05","1","3","0","1","0","0","0","1",1131
"18","18E16307","04","1","2","16","5","01","1","1","1","","","","","","","","","","","","1","0","0","0","1","1","0","0","0","4","2","1","1","","","","","","","","","","","","","","","","","","","1","0","0","0","1","1","0","0","4","2","08","2","","0","1","0","0","0","1",1131
"18","18E16307","05","5","1","22","5","02","2","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","","04","","","","","","","","","","","","","","","","","","","","","","","","","","","5",1131
"18","18E16307","06","5","1","24","5","03","2","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","","07","","","","","","","","","","","","","","","","","","","","","","","","","","","5",1131
"18","18E16322","01","5","2","13","3","01","1","1","1","","","","","","","","","","","","1","0","0","0","1","0","0","0","0","4","2","1","1","","","","","","","","","","","","","","","","","","","1","0","0","0","1","0","0","0","4","2","06","1","6","0","1","0","0","0","1",1213
"18","18E17554","02","1","1","05","0","00","2","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","","01","","","","","","","","","","","","","","","","","","","","","","","","","","","5",2415
"18","18E17554","03","1","2","07","0","00","2","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","","01","","","","","","","","","","","","","","","","","","","","","","","","","","","5",2415
"18","18E17554","04","6","2","18","3","02","2","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","","08","","","","","","","","","","","","","","","","","","","","","","","","","","","5",2415
"18","18E17554","05","6","1","19","3","02","2","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","","01","","","","","","","","","","","","","","","","","","","","","","","","","","","5",2415
"18","18E17554","06","6","2","21","2","02","2","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","","01","","","","","","","","","","","","","","","","","","","","","","","","","","","5",2415
"18","18E17559","01","4","2","03","1","01","1","1","1","","","","","","","","","","","","1","0","1","0","1","0","1","0","0","2","9","1","1","","","","","","","","","","","","","","","","","","","1","0","1","0","1","0","1","0","4","1","04","1","3","0","0","0","0","1","3",1118
