Near Children Support ID,Near Children Support,Near Doctor Support ID,Near Doctor Support,Near Work Support ID,Near Work Support,Near Money Support ID,Near Money Support,Age Range ID,Age Range,Sex ID,Sex,Population
1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,3,Fácil Conseguirla,6,25 to 29 years,2,Mujer,2696
1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,3,Fácil Conseguirla,7,30 to 34 years,1,Hombre,765
1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,3,Fácil Conseguirla,7,30 to 34 years,2,Mujer,4029
1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,3,Fácil Conseguirla,8,35 to 39 years,1,Hombre,3672
1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,3,Fácil Conseguirla,8,35 to 39 years,2,Mujer,2523
1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,3,Fácil Conseguirla,9,40 to 44 years,1,Hombre,1119
1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,3,Fácil Conseguirla,9,40 to 44 years,2,Mujer,2396
1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,3,Fácil Conseguirla,10,45 to 49 years,1,Hombre,1743
1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,3,Fácil Conseguirla,11,50 to 54 years,1,Hombre,1033
1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,3,Fácil Conseguirla,11,50 to 54 years,2,Mujer,290
1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,3,Fácil Conseguirla,12,55 to 59 years,1,Hombre,1687
1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,3,Fácil Conseguirla,12,55 to 59 years,2,Mujer,1548
1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,4,Muy Fácil Conseguirla,5,20 to 24 years,1,Hombre,560
1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,4,Muy Fácil Conseguirla,6,25 to 29 years,1,Hombre,553
1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,4,Muy Fácil Conseguirla,6,25 to 29 years,2,Mujer,321
1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,4,Muy Fácil Conseguirla,7,30 to 34 years,2,Mujer,942
1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,4,Muy Fácil Conseguirla,8,35 to 39 years,2,Mujer,98
1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,4,Muy Fácil Conseguirla,9,40 to 44 years,1,Hombre,794
1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,4,Muy Fácil Conseguirla,9,40 to 44 years,2,Mujer,337
1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,4,Muy Fácil Conseguirla,11,50 to 54 years,2,Mujer,189
1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,5,Ni Fácil ni Difícil Conseguirla (espontánea),6,25 to 29 years,1,Hombre,517
1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,5,Ni Fácil ni Difícil Conseguirla (espontánea),7,30 to 34 years,1,Hombre,355
1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,5,Ni Fácil ni Difícil Conseguirla (espontánea),11,50 to 54 years,1,Hombre,199
1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,5,Ni Fácil ni Difícil Conseguirla (espontánea),12,55 to 59 years,1,Hombre,192
1,Imposible Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,5,Ni Fácil ni Difícil Conseguirla (espontánea),14,65 to 69 years,1,Hombre,1064
1,Imposible Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,1,Imposible Conseguirla,6,25 to 29 years,2,Mujer,398
1,Imposible Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,1,Imposible Conseguirla,7,30 to 34 years,1,Hombre,1510
1,Imposible Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,1,Imposible Conseguirla,7,30 to 34 years,2,Mujer,2187
1,Imposible Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,1,Imposible Conseguirla,8,35 to 39 years,1,Hombre,62
1,Imposible Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,1,Imposible Conseguirla,8,35 to 39 years,2,Mujer,221
1,Imposible Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,1,Imposible Conseguirla,9,40 to 44 years,1,Hombre,317
1,Imposible Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,1,Imposible Conseguirla,10,45 to 49 years,2,Mujer,281
1,Imposible Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,1,Imposible Conseguirla,11,50 to 54 years,2,Mujer,100
1,Imposible Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,1,Imposible Conseguirla,12,55 to 59 years,1,Hombre,681
1,Imposible Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,1,Imposible Conseguirla,15,70 to 74 years,1,Hombre,109
1,Imposible Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,2,Difícil Conseguirla,4,15 to 19 years,2,Mujer,233
1,Imposible Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,2,Difícil Conseguirla,5,20 to 24 years,1,Hombre,1868
1,Imposible Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,2,Difícil Conseguirla,5,20 to 24 years,2,Mujer,459
1,Imposible Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,2,Difícil Conseguirla,6,25 to 29 years,1,Hombre,2560
1,Imposible Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,2,Difícil Conseguirla,6,25 to 29 years,2,Mujer,4962
1,Imposible Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,2,Difícil Conseguirla,7,30 to 34 years,1,Hombre,2149
1,Imposible Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,2,Difícil Conseguirla,7,30 to 34 years,2,Mujer,9263
1,Imposible Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,2,Difícil Conseguirla,8,35 to 39 years,1,Hombre,1222
1,Imposible Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,2,Difícil Conseguirla,8,35 to 39 years,2,Mujer,4333
1,Imposible Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,2,Difícil Conseguirla,9,40 to 44 years,1,Hombre,2759
1,Imposible Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,2,Difícil Conseguirla,9,40 to 44 years,2,Mujer,329
1,Imposible Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,2,Difícil Conseguirla,10,45 to 49 years,1,Hombre,918
1,Imposible Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,2,Difícil Conseguirla,10,45 to 49 years,2,Mujer,1292
1,Imposible Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,2,Difícil Conseguirla,11,50 to 54 years,1,Hombre,788
1,Imposible Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,2,Difícil Conseguirla,11,50 to 54 years,2,Mujer,750
1,Imposible Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,2,Difícil Conseguirla,12,55 to 59 years,1,Hombre,100
1,Imposible Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,2,Difícil Conseguirla,12,55 to 59 years,2,Mujer,899
1,Imposible Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,2,Difícil Conseguirla,14,65 to 69 years,2,Mujer,397
1,Imposible Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,2,Difícil Conseguirla,15,70 to 74 years,1,Hombre,596
1,Imposible Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,3,Fácil Conseguirla,4,15 to 19 years,1,Hombre,1997
1,Imposible Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,3,Fácil Conseguirla,5,20 to 24 years,1,Hombre,438
1,Imposible Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,3,Fácil Conseguirla,6,25 to 29 years,1,Hombre,706
1,Imposible Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,3,Fácil Conseguirla,6,25 to 29 years,2,Mujer,3594
1,Imposible Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,3,Fácil Conseguirla,7,30 to 34 years,2,Mujer,1658
1,Imposible Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,3,Fácil Conseguirla,8,35 to 39 years,1,Hombre,352
1,Imposible Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,3,Fácil Conseguirla,8,35 to 39 years,2,Mujer,2142
1,Imposible Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,3,Fácil Conseguirla,9,40 to 44 years,1,Hombre,964
1,Imposible Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,3,Fácil Conseguirla,11,50 to 54 years,2,Mujer,695
1,Imposible Conseguirla,1,Imposible Conseguirla,3,Fácil Conseguirla,1,Imposible Conseguirla,7,30 to 34 years,1,Hombre,855
1,Imposible Conseguirla,1,Imposible Conseguirla,3,Fácil Conseguirla,1,Imposible Conseguirla,8,35 to 39 years,1,Hombre,511
1,Imposible Conseguirla,1,Imposible Conseguirla,3,Fácil Conseguirla,1,Imposible Conseguirla,15,70 to 74 years,1,Hombre,309
1,Imposible Conseguirla,1,Imposible Conseguirla,3,Fácil Conseguirla,2,Difícil Conseguirla,9,40 to 44 years,1,Hombre,1014
1,Imposible Conseguirla,1,Imposible Conseguirla,3,Fácil Conseguirla,2,Difícil Conseguirla,11,50 to 54 years,2,Mujer,521
1,Imposible Conseguirla,1,Imposible Conseguirla,3,Fácil Conseguirla,3,Fácil Conseguirla,5,20 to 24 years,1,Hombre,2983
1,Imposible Conseguirla,1,Imposible Conseguirla,3,Fácil Conseguirla,3,Fácil Conseguirla,6,25 to 29 years,2,Mujer,242
1,Imposible Conseguirla,1,Imposible Conseguirla,3,Fácil Conseguirla,3,Fácil Conseguirla,7,30 to 34 years,1,Hombre,487
1,Imposible Conseguirla,1,Imposible Conseguirla,3,Fácil Conseguirla,3,Fácil Conseguirla,8,35 to 39 years,1,Hombre,2716
1,Imposible Conseguirla,1,Imposible Conseguirla,3,Fácil Conseguirla,3,Fácil Conseguirla,8,35 to 39 years,2,Mujer,667
1,Imposible Conseguirla,1,Imposible Conseguirla,3,Fácil Conseguirla,3,Fácil Conseguirla,12,55 to 59 years,2,Mujer,1019
1,Imposible Conseguirla,1,Imposible Conseguirla,4,Muy Fácil Conseguirla,1,Imposible Conseguirla,7,30 to 34 years,2,Mujer,47
1,Imposible Conseguirla,1,Imposible Conseguirla,5,Ni Fácil ni Difícil Conseguirla (espontánea),2,Difícil Conseguirla,12,55 to 59 years,2,Mujer,183
1,Imposible Conseguirla,2,Difícil Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,5,20 to 24 years,1,Hombre,1550
1,Imposible Conseguirla,2,Difícil Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,5,20 to 24 years,2,Mujer,1316
1,Imposible Conseguirla,2,Difícil Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,6,25 to 29 years,1,Hombre,101
1,Imposible Conseguirla,2,Difícil Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,6,25 to 29 years,2,Mujer,378
1,Imposible Conseguirla,2,Difícil Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,7,30 to 34 years,1,Hombre,1354
1,Imposible Conseguirla,2,Difícil Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,7,30 to 34 years,2,Mujer,2917
1,Imposible Conseguirla,2,Difícil Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,8,35 to 39 years,1,Hombre,1997
1,Imposible Conseguirla,2,Difícil Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,8,35 to 39 years,2,Mujer,2023
1,Imposible Conseguirla,2,Difícil Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,9,40 to 44 years,1,Hombre,1318
1,Imposible Conseguirla,2,Difícil Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,9,40 to 44 years,2,Mujer,4791
1,Imposible Conseguirla,2,Difícil Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,10,45 to 49 years,2,Mujer,3783
1,Imposible Conseguirla,2,Difícil Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,11,50 to 54 years,1,Hombre,477
1,Imposible Conseguirla,2,Difícil Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,11,50 to 54 years,2,Mujer,686
1,Imposible Conseguirla,2,Difícil Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,12,55 to 59 years,1,Hombre,386
1,Imposible Conseguirla,2,Difícil Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,12,55 to 59 years,2,Mujer,1667
1,Imposible Conseguirla,2,Difícil Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,13,60 to 64 years,1,Hombre,219
1,Imposible Conseguirla,2,Difícil Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,13,60 to 64 years,2,Mujer,1232
1,Imposible Conseguirla,2,Difícil Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,14,65 to 69 years,1,Hombre,661
1,Imposible Conseguirla,2,Difícil Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,15,70 to 74 years,1,Hombre,634
1,Imposible Conseguirla,2,Difícil Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,15,70 to 74 years,2,Mujer,892
1,Imposible Conseguirla,2,Difícil Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,16,75 to 79 years,1,Hombre,514
1,Imposible Conseguirla,2,Difícil Conseguirla,1,Imposible Conseguirla,1,Imposible Conseguirla,17,80 or more years,1,Hombre,382
1,Imposible Conseguirla,2,Difícil Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,4,15 to 19 years,1,Hombre,181
1,Imposible Conseguirla,2,Difícil Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,5,20 to 24 years,1,Hombre,2387
1,Imposible Conseguirla,2,Difícil Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,5,20 to 24 years,2,Mujer,2706
1,Imposible Conseguirla,2,Difícil Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,6,25 to 29 years,1,Hombre,3422
1,Imposible Conseguirla,2,Difícil Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,6,25 to 29 years,2,Mujer,8968
1,Imposible Conseguirla,2,Difícil Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,7,30 to 34 years,1,Hombre,12957
1,Imposible Conseguirla,2,Difícil Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,7,30 to 34 years,2,Mujer,8351
1,Imposible Conseguirla,2,Difícil Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,8,35 to 39 years,1,Hombre,7424
1,Imposible Conseguirla,2,Difícil Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,8,35 to 39 years,2,Mujer,12404
1,Imposible Conseguirla,2,Difícil Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,9,40 to 44 years,1,Hombre,7192
1,Imposible Conseguirla,2,Difícil Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,9,40 to 44 years,2,Mujer,9498
1,Imposible Conseguirla,2,Difícil Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,10,45 to 49 years,1,Hombre,3360
1,Imposible Conseguirla,2,Difícil Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,10,45 to 49 years,2,Mujer,6782
1,Imposible Conseguirla,2,Difícil Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,11,50 to 54 years,1,Hombre,1165
1,Imposible Conseguirla,2,Difícil Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,11,50 to 54 years,2,Mujer,4249
1,Imposible Conseguirla,2,Difícil Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,12,55 to 59 years,1,Hombre,7124
1,Imposible Conseguirla,2,Difícil Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,12,55 to 59 years,2,Mujer,356
1,Imposible Conseguirla,2,Difícil Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,13,60 to 64 years,1,Hombre,2706
1,Imposible Conseguirla,2,Difícil Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,13,60 to 64 years,2,Mujer,1446
1,Imposible Conseguirla,2,Difícil Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,14,65 to 69 years,1,Hombre,3765
1,Imposible Conseguirla,2,Difícil Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,14,65 to 69 years,2,Mujer,337
1,Imposible Conseguirla,2,Difícil Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,15,70 to 74 years,1,Hombre,2617
1,Imposible Conseguirla,2,Difícil Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,16,75 to 79 years,1,Hombre,1458
1,Imposible Conseguirla,2,Difícil Conseguirla,1,Imposible Conseguirla,2,Difícil Conseguirla,16,75 to 79 years,2,Mujer,802
1,Imposible Conseguirla,2,Difícil Conseguirla,1,Imposible Conseguirla,3,Fácil Conseguirla,5,20 to 24 years,1,Hombre,885
1,Imposible Conseguirla,2,Difícil Conseguirla,1,Imposible Conseguirla,3,Fácil Conseguirla,5,20 to 24 years,2,Mujer,1163
1,Imposible Conseguirla,2,Difícil Conseguirla,1,Imposible Conseguirla,3,Fácil Conseguirla,6,25 to 29 years,1,Hombre,490
1,Imposible Conseguirla,2,Difícil Conseguirla,1,Imposible Conseguirla,3,Fácil Conseguirla,6,25 to 29 years,2,Mujer,3535
1,Imposible Conseguirla,2,Difícil Conseguirla,1,Imposible Conseguirla,3,Fácil Conseguirla,7,30 to 34 years,1,Hombre,6127
